percent_population_change,percent_people_over_65,percent_african_american,percent_hispanic,percent_hs_grad,percent_bachelor,rate_homeownership,median_house_value,median_hh_income,percent_poverty,percent_vote_difference
8.5,29.4,7.2,26.7,85.8,31.7,74.1,261300,55843,14.1,-4.6
0.5,17.3,18.5,5.6,82.6,13.3,70.8,108700,38070,19.8,4.6
0.4,19.7,13.2,30.5,71.3,10.6,71.8,89900,34963,29.6,10.6
-3.1,22,9.1,3.7,78.5,8.4,78.5,85300,33981,17.4,11.1
3.9,12.8,30.1,8.6,87.9,26.4,61.6,151400,48323,16.9,-4.6
4.4,15.7,22.8,5.5,87.9,23.7,64.1,130100,43918,18.1,-2.4
7,28.4,11.5,9.8,90.2,23.3,80.2,169300,47233,16.6,10.5
2.3,20.1,14.4,5.1,79.3,14.4,69.7,143900,38328,20.6,5.2
-3.1,15.5,55.2,10.5,77.2,14.9,71.2,111200,35380,26.5,3.3
0.3,19.4,5.7,5.2,79.8,11.1,79.7,102300,38406,24.1,7
5.8,26.5,14,21.7,78,12.2,72.1,87700,34694,24.5,17.1
0.5,18.1,19.1,5,79.5,13.6,71.3,120200,40455,16.4,4
-5.1,15.9,33.5,9.5,75.1,9.4,75.1,73500,37716,23.6,8.7
-0.9,14.8,7.6,43.1,64.2,8.8,70.5,85800,37125,29.6,6.4
-1.6,12.7,13.2,50.9,64.4,9.9,69.6,81400,35425,26.7,6
1.8,27.5,5.7,11.6,86.5,15.5,79.3,117400,41024,15.4,17
-0.6,33.8,10.6,18.4,81,14.9,77.9,93600,35560,20.1,6
7.1,13.1,17.5,26.5,86.8,29.5,60,160000,49596,16.8,-3.2
-1.4,18.9,6.8,2.7,75.5,12,79.3,83400,35511,23.8,5.1
4.9,30,9.4,11.9,87,26.6,74.9,157400,44772,15.1,-0
-1.9,18,27,4.8,78,14.2,74.3,88100,36809,19.9,5.8
-4.8,20.1,35.4,4.1,81.2,16.9,75.5,121100,44170,17.2,5.5
-0.4,14,15.2,12.5,78.4,9.3,79.9,116600,39722,20.2,5.5
6.3,26,10.6,13.8,86.4,20.5,75.3,142700,45035,13.8,3.2
9.8,26.3,9.1,19.6,86.9,24.7,70.8,149400,47439,15.4,1.3
3.1,11.4,31.6,6.1,91.8,44.2,53.8,183300,46369,23.2,-5.9
-2.9,22.9,9.5,8.1,81.1,11.1,77.5,92200,34348,23.7,8.4
-0.1,11.8,19.7,6.6,75.6,12.8,78.7,78800,39681,24.1,10.1
-3.7,17.9,38.9,5,78.2,9.7,75.8,81000,33833,22.5,11
9,25.5,9.3,15.7,87.4,26.6,71.4,165400,47876,15.1,2.1
2.4,27.9,13.2,11.9,85,17.4,76.7,119400,39453,18.1,7.1
4.5,29.3,5.7,12.9,88.8,29.9,76.2,197900,49846,13,1.5
6.6,15.2,18.9,66.2,78.8,26.3,55.7,201000,43100,19.9,-10.1
5.5,20.5,6.6,22.4,89.9,28,61.7,381200,53607,13.5,4.7
4.5,20,6.5,3.8,89.4,22.8,78.4,181100,55315,12.6,-0.4
8.7,15.1,10.1,8.5,90.9,27.4,66.1,182100,54684,13.4,-3.7
-2.1,17.9,8.8,25.3,67.8,10.2,73.9,105300,34570,26.9,15.3
9.3,10.8,22.2,29.2,87.2,30.1,57.4,167800,47581,17,-11.6
15.5,12.7,13.4,49.7,83.8,17.6,63.1,129900,43891,17.9,-3.9
5.9,22.7,18.8,20.7,87.5,32.4,71.2,199700,52432,14.5,0
4.4,22.5,5.6,13.4,87.2,20.4,76.5,120000,43888,13.9,12
2.3,23,10.9,8.8,88.9,27.5,67,151500,45535,14.1,4.2
5.4,19.5,15.7,19.6,82.4,18.1,70.5,111400,43113,18.2,4.7
-3,21.1,16.6,9.6,77.5,11.4,76.3,89600,32497,26.4,8.6
14.7,18.2,5.7,6.1,93.2,41.4,77,242900,64876,9.6,-5
5,22.6,20.2,17.6,85.2,19.5,73,122900,43413,18.4,9.3
8,14.5,6.6,5.2,89.4,25.9,73.6,162300,57703,12.3,-1.6
4.6,33.9,5,8.7,91.9,30.8,74.5,175000,49052,12.2,2
4.7,14.3,12.2,19.2,91.8,35,70.5,184300,58175,11.3,-7.6
22.4,52.9,8.3,5.6,87.8,25.2,90.2,194100,48493,12,2.3
5.9,19.6,13.6,9.1,79.8,9.8,72.2,98400,35698,23.6,6.4
0.1,18,20.7,4,76.5,11.6,78.1,87400,36356,16.7,8.9
-2.2,12.4,22.9,5.3,73.9,10,66.5,89200,42660,19.6,8.7
2.6,23.2,11.1,12.2,87.6,20.8,72,142800,42457,16.8,9.5
2.1,13.2,15.2,3.8,87.7,17.2,78.7,138300,52691,14.4,8.1
11.8,18.7,5.9,6.1,84.5,24.1,73.3,159500,43640,17.9,1.5
-1.8,17.3,15.6,3.5,80.3,11.4,78.6,85900,38501,20.1,6
1.7,15.6,19.7,9.3,76.8,12.8,69.6,75600,36786,22.9,6.1
-1.9,11.8,17.9,23.9,64.6,7.7,69.9,75000,30049,32.2,7.7
1.7,14.1,16.5,8,72.2,12.1,67.5,77000,33757,19,6.3
-5.7,17.8,45.6,4.8,79.5,10.9,72,72700,27353,31.8,8.7
0.2,14.2,41.8,2.1,81.7,19,57.2,103900,32751,30,2.3
-0.5,15.9,2.9,6.5,75.5,11.6,77.3,140200,41141,16.7,2.1
5.6,11.2,11.7,9.6,82.1,17.1,78.2,127000,53274,13.7,-1.6
1.6,12.8,10.9,8,80.4,15.9,67.7,128500,47197,17.1,1.3
-1,15.4,35.5,6.3,76.9,9.8,64.4,79700,28547,38.1,10.4
-3,16.5,11.1,5,76.8,12.8,76.8,80100,32258,22.5,5.4
-1,14,53.8,3.2,82.4,22.5,54.4,123000,37550,24.9,-2.3
-2.1,16.7,26.8,2.6,79.5,14.9,71.3,79900,36073,23.3,3
0,14.7,3.5,2.1,76.8,6.4,80.4,68500,36070,21.9,7
-5.6,18.6,35.4,5.6,77.4,11.4,67.6,101400,34419,24,11.2
12.1,10.2,15.4,6.3,88,30.6,70.2,182400,64707,11.7,-1.9
2.7,10.3,29.1,3.7,85.9,27.7,50.9,134900,35840,31.3,1.7
-2.6,14.1,48.4,3,76.9,9.9,70.2,80000,31494,33.5,9.2
-1.2,14.3,27.7,3.1,74.7,8.4,75.2,125400,49754,14.5,5.3
-3.5,12.5,61.2,4.7,68.6,11.5,70.6,53000,26986,38.7,1.5
3,11.3,19.5,6.2,90.4,19.5,63.1,154500,51990,15.5,3.4
-1,16.7,24.5,11.2,78.5,14.6,64,86700,35070,25.9,6.5
3.2,12.5,19.1,6.5,79.7,18.3,66.7,118500,46147,18.9,0.6
2.6,16,2.8,2.8,82.3,17.5,72.6,130200,47087,13.9,4.2
6,13.3,32,3.5,74.3,9.4,77.9,76100,40111,19.7,9.6
6.9,13.6,40.1,6,88.7,31.3,57.5,174500,45794,19.1,-5.3
5.1,4.1,19.3,15,92.5,27.5,28.8,97100,48758,11.9,9.2
-4.1,16.5,10.4,4.8,69,7.7,69.7,72400,33228,24,12.3
7.8,11.9,6.6,10.1,88.9,34.2,79.1,190400,67261,9.8,-6.7
3.6,9.7,27.7,10.8,85.1,39.5,43.9,156600,33060,36.7,-16.6
-2.5,23.3,59.5,1.1,77.9,7.9,66.6,72300,21192,44.5,16.3
3.1,8.3,68.3,13.1,81.7,18,55.3,97500,40606,24,-10.8
0.5,15,28.3,4.2,71.1,12.5,68.7,62900,30345,29.1,9.2
6.2,10.6,27.3,12.7,90.8,43.7,66.4,196700,63920,12.8,-15.8
1.1,12.3,28,10.9,75.5,12.9,69.4,80700,35693,24.3,7.6
1.3,14,23.2,18.3,72.1,13.1,66.2,83500,32484,26.7,4.9
12.3,11.8,16.9,6.2,91.3,34.1,78.9,170400,69306,8.3,-5.4
0,14.7,27.8,6.1,74.8,12.4,73.4,83100,34985,23.1,5.9
6.5,12.4,18,6.7,87.8,26.9,74.5,176400,60813,12.7,-2.9
-1.9,16.9,21.3,3.1,78.7,13,79,90800,41586,20.6,7.2
-2.2,16,43.6,3.2,79.5,15.5,59.8,95600,35240,31.2,7
-1.5,17,1.4,2.1,80.3,17,77.8,112800,43205,15.9,8.8
2.8,17.9,0.9,4,85.8,24.4,73.7,186000,53525,15.6,-2.1
-2.2,15.4,41.6,5.6,78.4,14.7,64.3,102900,30619,27.1,5.6
4.4,10.4,54.8,8.9,88.4,39.7,56.7,168900,50856,19,-23.7
-3.8,15.2,30,3.4,80.2,15.2,65.7,70000,37292,19.8,6.4
-4.9,15.7,50.5,7.3,70.9,10.1,66.7,67600,29012,29,9.4
-2.3,13.6,68.4,2.6,79.9,17.8,47.3,101700,31671,31.2,-0.3
4.9,10.3,43.5,8.9,87.2,24.4,69.8,135700,52691,16.1,-9
-4.7,18.4,49.9,2.2,76.7,12.9,64.7,82400,28853,31.6,11.7
-0.8,11.3,5.6,28.1,74.7,5.7,62.7,71600,31375,31.3,2.9
6.1,10.8,14,3.7,85.2,16.8,76.6,155400,63030,11.2,1.8
-3.6,19.1,29.4,5.5,78.3,11.3,68.4,84500,35817,20.4,11.6
0.7,15.8,34.2,4.6,76.5,11.6,65.6,69900,32046,29.4,7.8
-0.9,15.1,31.2,12,76.2,14.1,63.7,89700,36788,27.9,4.8
0.3,25.6,0.8,2,79,14.4,78.2,161300,34239,23,4.2
2.9,16.2,22,7.1,94.3,42.6,82.9,231500,79977,7.7,-10.8
-0.3,15.7,14.8,10.3,77.9,18.1,64.2,114800,40821,21,1.4
16.4,11.1,3.5,9.7,91.4,43.8,85.6,258200,86569,7.6,-11.1
0.8,18.7,9.6,4.3,72.3,13,73.1,114800,34830,18.9,5.6
8.2,10.4,44.3,7.6,90.4,48.2,53.9,238200,56857,17.6,-21.6
1.9,22,0.9,10.9,76.5,16.4,73.4,142200,39140,21.7,1.6
-0.9,17.4,9.9,1.5,78.3,9.6,70.8,70000,37760,21.4,4.3
3.2,17.7,26.5,6.5,86.6,26.1,61.9,162900,46407,19.2,0
1.6,13.3,4.4,15.2,73.4,14.2,66.8,116100,40926,21,3
1.4,16,29.1,10.9,72.7,11.3,58.5,110800,30571,30.1,4.4
3.1,26.2,36.6,6.3,78.7,21.4,75.6,145200,42565,22.3,2
9,8.6,27,20.5,87,33.9,68.4,171300,60445,13.9,-16.2
1.7,17.4,4,13.6,77.9,17.1,76.3,137900,39306,20.8,-1.8
6.2,13.6,8.1,27.5,78.8,22.8,67.8,165300,50853,18.7,-4.9
-9.5,20,72.6,1.7,75.8,9.9,77.7,67800,25000,30.6,25.6
-0.5,16,5.1,1.4,74.2,14.1,70.3,106800,39993,22.8,3.9
2.7,16.7,17.1,3.3,89.2,27.3,86.7,203800,69223,8,0.7
0.7,20.6,18.8,3.6,80.3,15.5,73.7,118400,35615,25.4,5.4
-2,15.7,10.7,2.5,72.7,8.2,76,93200,39909,24.3,5.7
4.9,10.4,40.6,6.4,89.5,26.1,75,147500,60781,11.2,-9
6.6,11.7,30.3,6.6,88.8,24,67.1,132900,54893,15.2,-0.7
-4.6,18.2,26.7,3.6,81.1,10.3,72.4,83400,40771,21.2,8.3
2.3,13.5,7.2,6.7,81.1,19.5,77.1,161300,53179,15.9,-0.5
-3.4,15.5,21.5,4.2,83.6,13.3,76.1,120200,42192,21.7,5.5
-1.4,14.2,15.6,11.3,79.6,9.6,71.3,79900,36296,24.5,7.6
-3.9,17,53.6,3.3,73.8,8.8,65.5,67200,26968,31.5,7.1
9.4,15.3,43.2,5.1,72.6,13.1,69.6,63400,26104,29.4,12.1
-2.8,15.5,35,2.2,75.8,11.5,78.9,65000,36722,22.8,5.8
0.4,15.4,24.9,1.5,88.7,17.8,79.1,138900,51497,16.6,3.6
-0.6,16,31.7,2.2,81.9,14.2,70.1,122600,41016,18.9,6.1
3,12.1,22.7,5.5,76.4,12,60.9,111800,39452,26.7,13.2
-1.2,16.2,36.2,2.5,79.8,15,65.7,85200,34793,24.7,4.6
3.2,10.7,20.7,2.6,83.9,20.5,76.2,159000,60104,11.2,-0.4
2.7,7.5,40.8,12.1,90.9,20.2,51.1,126900,43832,18.7,10.5
-4.7,20.7,31.6,1.3,82.1,11.4,78.7,103700,35625,26.5,6.1
18.4,7.7,25.6,11.8,85,14,62.2,111900,42651,19.2,5.1
3.9,11,36.6,5.5,84,23.1,53.9,133700,37365,24.3,5.5
4,15.7,1.9,4.9,85,25.4,68.2,165900,43775,18.1,-1.7
-2.3,15.9,40.7,2.8,74.6,13.7,66,106100,37487,22.2,2.6
-0.8,21.7,34.9,2,80.5,15.8,81.5,103700,39068,14.9,9.9
-6.4,14.9,59.8,4.1,70.5,10.1,66.5,65500,30240,29.4,11.2
0.7,15.6,9.4,4.7,78.7,14.9,73.3,127800,42549,17.9,1
0.6,17,30.8,7.6,75.1,10.6,71.8,87000,33301,20.5,10.4
-3.6,18.6,39.4,2.2,73,8.9,69.9,91200,37333,21.1,8.3
-2.8,19.6,28.1,2,79.9,11.9,74.5,83200,32260,23,8.1
-3.1,14.9,48,4.3,72.3,9.6,65.3,77900,32054,26.2,8.3
2.2,16.8,23.7,2.3,79.5,18.7,76.3,148300,48630,12.9,2.1
-1.4,15.5,26.8,6,82.3,15.5,69.4,74300,32702,24.5,7.9
0.5,18.2,23.2,3,81.7,22.7,77.1,175700,47729,15.4,1.5
-0.6,13.3,1.4,14,69.3,9.6,68.9,94100,34888,22.4,10.6
5.4,12,46.1,7.5,85.4,22.6,52.6,133300,41339,19.6,0.9
3.7,11.9,43,4.9,84.5,19.4,73.5,125600,50580,15.2,-1.6
6.9,13.5,5.4,4.6,91.3,43.1,78.9,238200,75004,9.3,-7.8
-1.5,18,17.7,3.9,79,18,77,120800,45729,16.4,2.3
4.7,9.5,18,5.7,88.5,23.4,82.1,135500,61837,11.4,-2.9
-2.8,13.3,45.1,7.3,82.7,19.2,66.6,120000,39844,24.6,10
2,20.3,1.7,3.1,80.8,22.5,78.9,166300,51383,11.9,0.1
1.2,15.6,9.3,5.1,77.6,11.8,73.3,79600,39067,20.5,4.3
-0.5,14.6,10.5,1.6,85.1,17,84.2,152800,53865,11.2,2
-0.8,14.9,13,13,72.7,13.1,70.8,107900,39208,23.4,7.7
-4.3,18.9,31.7,3.5,77.5,9.6,68,87300,41550,15.7,2
-0.1,21.5,27.3,6.6,84.5,18.7,77.1,140600,44764,14,2.4
-7.9,27.7,47.5,1.4,72.3,3.2,77.3,62300,31068,26.4,21.8
-0.2,25.5,1.6,8.4,85.2,26.6,73.2,168300,35423,21.5,2.3
-5.3,20.9,60.9,2.1,72.3,17.4,71.2,70300,30023,25.4,5.9
0.4,12.6,55.5,4.6,83.7,20.5,54.5,100900,37749,25.1,-0.4
3,12.8,51,10,86.2,26,69,149900,52579,14.7,-13.4
3.1,14.7,21.5,4.4,73,14.2,64.4,93000,38425,22.3,4.8
-3.5,16.8,41.7,1.7,78.9,13,70.8,77000,34848,27,7.6
-0.5,21.8,33,2.9,81.2,12.2,77,71200,30521,26,9.9
-0.1,16.1,33.2,4.5,76.6,14.8,63.1,113900,41534,21.5,1.4
-2.7,18.3,11.3,3,80.4,14.2,74.7,106600,37898,19.8,3.4
-5.2,15.3,51.5,24.5,63.1,10,63.3,50600,23451,30.7,8.9
-4.8,14.8,52.8,5.3,76.2,18.5,58.2,90300,33796,32.3,5.8
-6.9,19.1,56.6,2.1,76.7,12.3,75.9,76500,32424,21.8,7.1
-1.4,22.4,56.9,4,68.3,9.3,73.2,68300,25465,30,16.5
-1.2,12.5,29.5,10.5,75.1,11.6,71.3,86100,37587,27.4,4.8
-5.2,18.2,38.2,2.3,76.4,10.1,69.3,60800,27455,28.2,10.1
0.1,15.3,36.6,14.7,73.9,10.9,64.8,58300,26634,30.5,12.9
-3.9,17.7,60.3,2.6,65.6,8.7,63.4,78800,32628,31.6,7.4
0.5,16.8,36.8,3.4,81.8,18.1,56.5,127000,34035,26.5,1.8
1.5,14,30.1,11.3,77.5,16,61.1,117300,34591,27.9,2.8
0.2,15.2,26,11.2,79.2,15.2,62.4,88100,31189,26.9,3.9
6,32.2,1.2,2.6,86.8,22.7,84.8,164000,36570,16.3,1.9
-1.6,15,32.3,2.9,74.4,12.3,68,64300,37894,25.8,11.4
3.6,13.7,35.4,3.7,81.8,18.6,60.9,121300,41161,23.6,3.8
-8.7,18.6,39.4,4.5,72.1,9.8,64.7,83800,28326,22,8.4
-7.8,19.6,40.9,1.9,70.3,10.8,80,54700,31234,28.7,10.6
2.9,31.3,0.9,3.1,84.7,19.6,78.3,198300,40009,17.7,3.3
-3.3,17.8,28,2.5,77.6,11.4,67,86600,35329,20.5,3.9
-0.8,16.6,4.5,2,79.1,14,72.6,104700,39963,16.7,6.5
4.6,14.2,17,3.9,83.1,18.4,75.1,157100,52369,13.8,-0.4
-2.2,16.2,29.3,3.7,80.4,13.9,65.3,79600,34572,24.3,5.2
-5.4,20.3,59.9,1.1,73.2,7.3,65.9,66700,27796,31.6,8.3
-2.6,16,52.7,2.2,76.2,11.1,72.5,82300,33652,25,7.2
-0.5,14.7,20.7,6.3,81.3,11.4,69.1,80400,35830,22.7,6.6
-5.4,19.7,42.5,3.7,77.5,11.2,79.7,48800,35718,22.5,11.1
7.7,12.8,38.4,5.4,74.8,8.5,66.6,54200,24382,31.3,6.9
3,20.6,2.4,2.9,85.2,19.3,74.3,169600,40670,20.1,0.3
0.9,12.7,4.4,33.3,69.1,14,65.7,122800,40471,20.5,-1.5
-4.4,16,35.7,4.1,75.9,8.6,75.6,71200,32928,27.8,7.4
-6.2,21.4,42.6,3.9,76.2,14.5,72.1,95200,28983,27.3,3.8
-2.5,17.9,38.6,2.7,79.7,8.2,78.2,71600,36173,21.3,8.1
-3.4,16.9,28.9,2.1,71.4,8.1,74.1,75400,35792,20.2,6.6
4.9,17.5,0.9,12.3,91,25.6,65.7,309800,51250,18.3,16.2
4,15.8,3.1,9.5,90.3,32.1,55.5,556300,72764,9.8,6.1
-1.1,29.2,0,1.1,87.7,41.5,0,0,59375,14.7,NA
5,17.4,0.7,10.8,90.1,25.1,62.6,484500,62052,11.2,19.2
5.3,15.1,0.9,11,90.2,25.7,58.1,523700,63512,10.6,8.5
8.6,12.6,1.3,7.7,93.6,36,68.1,183600,55210,13.1,-11.3
-2.9,24.9,0.2,3.2,92.8,21.9,81.6,150500,35434,16.6,3.9
0.6,12.8,0.9,8,91.8,26.8,68.8,142600,43534,15.5,-13.7
-0.5,19.6,0.3,4.2,90.7,16.1,81.3,129700,44964,12.9,-14.7
-1.8,21.2,0.4,3.3,87.4,13.4,75.2,136000,39049,14.7,10.7
-0.7,12.9,0.5,17.8,84.6,17.3,74.8,135400,47941,15.2,-14.1
0.5,15.8,0.3,20.7,90.6,44.7,70.1,375000,64042,8.3,-19.4
-2.9,21.3,0.5,3.6,89.2,24.1,78.3,195600,41056,17,2.7
1.7,21.4,0.3,2.9,90.7,21.1,73.1,222200,41414,15.2,-0.9
4.1,12.1,0.7,12.5,90.5,26,73,154700,50872,11.4,-19.1
0.1,20.5,0.5,4.2,84.9,15.4,74.4,174300,37003,16.5,6.5
-9.4,19.6,0.2,5.8,89.2,17.9,79.5,110300,41131,15.7,-4.5
-7,18.6,0.5,7.5,84.3,22.3,67.7,163000,41154,15.5,-1.6
7.5,12.5,0.8,24.6,82.7,16.8,69.3,122800,42105,20.4,-3.3
-1.8,16.8,0.2,5.3,88.7,17.5,84.1,116300,53586,7.8,-12.3
2.5,13.5,0.6,26.6,78,15.6,69,125900,42039,15.9,-14.7
-11.7,14.8,0.8,42.6,70.1,11.4,59.5,111700,33200,14.9,0.1
-2.3,25.4,0.5,3.6,84.9,15.5,80.1,138300,40134,12.5,9.1
-5.2,23.8,0.2,4.1,89.6,26.3,83.5,150600,39541,16.1,-0.7
-3.5,11.8,3.2,16.2,84,16.9,62.4,136800,42842,16.3,4.5
1.8,13.6,0.3,6.9,92,17.4,80.9,156800,44962,12.2,-23.5
-2.8,16,0.8,12.4,87.9,19.7,82.5,147600,44520,12.4,-15.3
0.9,21.4,0.2,8.2,86.3,15.8,74.6,150400,44432,18.2,6.1
-2.6,16.4,0.5,28.6,74.6,12.1,70.5,123800,37050,20.8,-0.2
-0.3,24,0.4,3.1,88.9,14.8,78.2,150900,37349,17.5,4.3
3.4,11.1,0.4,10.3,89.4,22,83.8,157500,52023,13.1,-15.4
2,12.1,0.6,34,70.2,13.4,63.5,135200,40126,18.3,-4.2
6.4,17,0.4,4.3,92.1,23.3,70.6,188800,49002,13.4,1.9
3.1,11.8,1.1,4.1,95.3,44.1,56.7,189100,41735,20.4,-11.7
-2.6,27.3,0.5,3.1,90.4,23.8,71.3,186900,34122,23.3,0.4
0.4,24.1,0.4,4,88.3,16.2,74.1,116600,36000,17.9,3.9
2.1,12.3,0.5,30.2,74.5,11.8,71.7,120300,42433,16.6,-3.7
1.3,6,0.7,7,94.9,33.7,49.1,169600,32059,35.8,-38.9
1.3,15.5,0.8,33.7,75.7,9.9,72.8,108500,43266,13.6,-8.9
1.9,18.9,0.5,3.7,90,21.1,69.3,165900,46503,11.1,5.2
-2.4,19.3,0.3,4.1,93.1,13.2,81.2,126100,40842,16.1,-15.9
-1.5,16.3,0.8,26.5,75.4,8.2,64.2,121200,32175,24.2,3.7
0.9,17,0.4,16.7,85.4,16.4,74.6,132700,43649,20,6.8
-2.6,13.9,1,31.1,80.3,15.9,70.8,125600,44212,13.9,-6.2
-2.9,21.7,0.3,3.4,84.8,13.5,68.4,123200,38440,17.4,22.8
1.7,8.6,0.4,17.7,87.8,34.4,72.1,222700,53931,11.7,-19.9
4.8,14.8,0.7,15.2,83.7,16.3,66.8,148900,43886,15,-6
-0.4,21.6,0.2,4.4,92.4,34.3,77.8,221200,50473,9.5,0.3
-1.7,22.7,0.4,17.2,81.8,16.7,76.3,122700,37453,15,2
-0.2,18.7,3.7,1.4,89.7,21.3,72,104200,45073,14.4,7.3
-9.1,18.2,36.6,2.1,74.6,8.4,65.8,54400,26972,31.6,24.9
-2.8,16.5,6.5,3.5,86.3,19.1,74.7,103300,48163,14.6,17
-0.6,14,2.7,20.6,85.8,19.3,82.5,158800,60893,11.3,4.4
-1.5,13,19.2,6.2,81.5,12.2,78.2,83600,42194,12.3,18.8
-3.3,19.9,0.9,8.6,89.2,17.4,75.7,101200,48977,11.6,15.7
-2.6,22.8,0.3,1.1,89,14.4,81.5,112300,50436,11.9,20.3
-4.4,23.6,1.1,3.4,88.9,15.1,76.5,100100,47985,13.7,25
-3.5,16.4,3.8,18.9,86,13,72.2,76100,45734,14.8,14.2
3,11.1,12.8,5.7,93.6,42.4,54.9,149500,45808,22.3,-17.6
-2.6,18.6,1.6,1.6,88.2,13.5,74.7,82400,45145,14.9,13.7
-0.9,18.7,0.5,1.4,89.5,17.6,75.6,87800,47405,12.3,9.7
-2.1,18.8,0.5,1.5,87.7,14,79.6,75300,40640,15.6,12.5
0.3,16,3.7,3.1,88.7,20.3,82.4,127300,61720,8.9,12.1
-1,15,4.1,2.3,90,24.2,62,90200,37040,22,10.5
1,12.9,24.4,25,84.5,34.7,58.3,231200,54548,16.9,-13.1
-2.1,18.3,4.9,2.2,89.2,17.1,79.9,76600,46216,14.4,11.4
-1.9,17.6,0.5,1,88.8,13.8,80.8,83800,43958,13.9,14.9
0.3,11.1,7.6,10.9,91.1,29.8,60.2,173000,53375,19,-3
-1.7,18.1,0.8,2.3,92.6,16.8,77,107100,51051,14,8.9
-0.5,16.3,0.6,7.3,83.8,16.2,78.3,99300,52741,10.3,4.2
1.7,13.5,5.2,14.1,92.1,46.3,74.4,286500,78487,6.9,-18.2
-4,20.4,0.5,1,86,18.2,73.4,72900,42133,18.4,10.3
-1.5,19.2,0.6,1.2,86.8,10.5,79.9,65800,39075,11.4,12.6
0.2,16.8,0.5,1.9,90.9,20,78.3,115200,52108,9.1,3.8
-1.2,17.1,4.7,1.7,84.2,13.1,80.5,82900,44722,17,16.6
-2.8,19.8,1,2.9,88.6,16.3,76.6,89600,48866,10.5,1
-1.4,19.5,0.5,1.6,87.1,13.1,75.6,64300,36273,19.1,23.4
-2.9,18.9,3.9,2.7,86.4,14.5,75.5,80600,45130,13.3,25.9
-5.3,22.8,0.8,1.9,81.3,12,78.3,61100,40330,17.2,24.3
-3.3,18.3,1.1,1,88.6,12.9,75.8,75200,43502,13.2,21.7
0.7,12.9,1.5,9.3,91.7,20.2,76.2,182200,64541,9,9.7
-1.9,20.2,0.6,1.6,83.8,15.7,76.7,72800,38417,17.1,18.6
-2.8,23.1,0.4,1.5,90.6,18.4,78.3,81600,43925,13.6,25
-4.4,23.3,0.7,1.6,83.2,12.2,79.5,72600,37071,23.6,17.4
-5.6,23.6,0.4,1.5,88.4,15.7,79.6,83700,49389,11.3,43.3
-1.7,18.5,1.9,5.4,89.7,19.8,78.1,109800,52940,10.5,21
-2.8,20.4,1.1,6.5,88.3,14.6,75.3,96500,47079,13.7,5.5
-0.9,13,14.9,4.2,89.7,35.1,53.4,100600,33479,30.4,3.1
-0.8,18.2,0.3,1.4,91.5,16.2,84,88100,52233,6.6,11.7
-0.7,17.6,8.9,2.3,86.8,15.9,72.7,86300,42981,16.5,15.5
-1.8,17.6,0.7,1.3,88.3,16.2,79.9,117900,53954,7.6,16.9
-1.9,24.6,0.6,3.1,91.9,23.7,78.3,138000,50817,9.5,12.9
0.2,19.3,8.5,3.3,83.4,15.1,81.3,89800,40760,14.1,10.5
2.3,11.7,6.1,31.3,82.8,31.7,75.4,223100,69530,11.1,-13
-1.8,14.9,15.5,9.9,86.4,17.1,68.9,145900,50102,16.4,5.9
5.8,9,6.7,16.9,92.5,34.2,83.6,210800,81765,4.8,-7.2
-1.6,19.6,8,5.6,85.9,17,68.4,81100,40667,16.7,19.6
0.3,12.2,7.5,21,88.9,41.9,75.9,254800,77469,9,-18.3
-2.4,17.6,2.3,8.9,88.4,15.9,75.8,125200,52640,12.2,10.2
-2.3,17,10.1,3.7,76.1,8.4,78.1,65900,40145,13.3,16.2
-3.6,17.5,5.3,5.8,86.4,16,73.9,112100,50060,10.7,7.3
-2.7,17,5.5,4.5,86.1,14.5,73.9,110200,54614,10.3,4.1
-1.8,17.1,8.1,3.4,85.8,16.2,69,97200,47133,13.8,3.4
-2.2,14.9,5.4,2.7,91.7,33.3,61,86400,36031,23.1,6.5
-0.5,12.1,1.4,12.4,92.1,32.4,82.3,220500,76145,7.7,-5.2
2.6,11.4,7.7,4.8,94.4,42.8,67.3,157200,62089,14.2,-13.8
-2.2,17.9,17.1,2.1,88.1,22.3,69.2,93300,46559,17.6,9.3
-2.7,18.7,1.1,1,89.1,15.9,76.7,93900,49590,12.4,24.6
-1,15.7,8.3,3.1,90.9,24.4,72.5,124600,53633,14,11
-2.2,18.4,4.1,1.8,86.7,13.9,75,70300,41010,18.1,19.9
-5,21.8,0.5,3.3,90.8,17,82,100600,51504,11,13.7
-5.2,19.8,0.5,1.1,85.4,14.2,77.4,82100,42260,16.3,21
-3.4,20.3,5.8,2.6,83.4,16.7,75.6,80200,43615,16.3,10.8
-1.1,18.1,1.2,1.4,92.5,22.1,80.8,119100,58190,9.8,2.6
-3,20.5,0.6,2.1,90.5,14.7,78.7,98100,53136,10.1,25.5
2.3,16,0.4,1.6,92.8,25.9,81.1,193900,68482,5.4,5.8
-2.5,18.4,3.4,1.7,85.1,12.1,75.3,79500,41952,14.1,20.2
-1.7,18.3,6.4,2.3,88.1,20.7,69.9,91000,46809,14.4,9.6
-0.1,19,0.5,1.3,85,14.1,78.7,95400,46622,12.8,14.8
-2.6,17.2,1.1,9.6,88.9,19.9,76.1,149500,54541,11.3,4.9
0.4,15,18.1,4.6,89.9,28.9,65.5,123200,50712,17.2,-2.9
-3,17.3,8.8,3.1,84.5,14.3,76.7,78000,42078,18.4,21.8
