percent_population_change,percent_people_over_65,percent_african_american,percent_hispanic,percent_hs_grad,percent_bachelor,rate_homeownership,median_house_value,median_hh_income,percent_poverty,percent_vote_difference
-3.1,16.5,0.6,5.1,88.4,26.9,63.4,200500,49545,14.9,NA
3.6,10.6,1.6,6.5,95.5,36.7,64.5,309900,81490,6.2,NA
3.7,14.2,0.8,4,92.8,23.7,72.7,204900,61793,8.6,NA
2.3,12.5,0.9,4.9,93.5,25.4,58.5,265600,62519,10.2,NA
2.8,8.6,1.5,8.7,89.6,20,56.9,224500,68718,11.7,NA
-0.2,9,1,3.2,86.8,15.4,64.4,136400,51786,21.1,NA
10,9.6,1.3,4.7,92.4,21.3,76.7,218900,71037,9.9,NA
3.4,7.3,0.7,2,84.1,17.1,55.1,142800,49974,27.7,NA
2.9,4.8,1.5,3.9,86,14.5,48.3,154600,80761,10.3,NA
2.6,6.9,1,2.1,78.7,11,56,131000,61607,22,NA
-1.5,13.3,1.6,5.6,95.7,25.7,69.2,215100,63934,13.5,NA
3.6,11.4,0.4,3.3,91,15.7,70.7,162500,46071,15.1,NA
0.2,13.2,1.1,6,91.2,34.1,56.2,323200,69405,10,NA
7,10.6,0.3,4.3,95.2,24.3,59.2,305600,71667,5.5,NA
-1.4,12,1.5,4.9,93.1,23.1,66.5,175000,56801,13.3,NA
-1.5,10.1,0.9,4.7,91,23.9,74.5,177700,74878,8.3,NA
7.4,5.2,0.2,1.1,76.6,5.4,71.1,109300,40176,31.4,NA
0,17.9,0.4,2.2,89,16.7,71.4,157400,45841,9.5,NA
-4.1,12.8,2.5,3.3,93.2,22.7,49.6,147500,72500,5.9,NA
-0.7,13.3,0.6,2,80.3,9.3,70.4,106500,34710,24.2,NA
0.4,13.5,0.9,6.4,74.5,10.4,76.5,83100,31476,36.2,-11.5
-3,19.9,4.7,34.6,85.8,22.5,68.8,146200,45755,17.1,-5
2.4,11.1,1.6,13.9,87.6,31.1,59.5,220400,49555,23,-11
-0.9,26.6,0.9,18.8,84.3,16.1,75.8,134000,39954,21.6,2.4
2,12.3,2.1,32.1,84.4,12.3,74.3,122200,44943,22.3,-1.3
10.8,11.6,1.8,46.6,84.3,11.1,46.1,81000,47992,16,9.1
-1.3,36.1,1.2,25.7,75.3,9.3,74,88800,35776,19.4,5.3
7.1,13.8,5.7,30.3,86.4,29.8,62.5,176500,53596,16.7,-10.9
1.6,26.9,1.3,15.8,83.8,11.9,69.4,133900,39200,19.4,4.6
0.6,15.8,1.3,11.1,80.6,14.9,72,112200,36927,30.3,-4.2
2.5,17.7,4.1,36.1,87.2,29.8,62.7,167500,45841,19.2,-12
7,18,4.9,29.2,84.7,18,74.4,120200,50027,15.6,-0.5
-1.5,15.8,0.9,82.8,72.5,19.8,66.3,140000,37745,26.3,-19.8
3.7,28.1,0.9,14.2,90.2,24.2,70,184100,42987,15.8,-1.6
3.8,17.4,2.7,61.7,71.9,14.3,69.6,118000,41595,20.2,-12.1
-2.2,17.5,24.5,3,84.1,12.4,67.5,75500,39633,15.8,3.4
-4.1,18.4,25.6,5.2,84.2,12.2,75.6,62500,35683,18.9,8.2
-1.6,30,0.4,2,87.6,16.5,76.5,120000,35343,15.5,5.8
9.5,13,1.9,16.2,85.8,28.7,68.6,147500,54515,12.2,-6.6
0.8,19.8,0.4,2.3,85.4,15.4,72.6,106400,38506,16.6,5.9
-3.1,18.3,27.6,14.3,76,10.8,68.8,62900,30409,31.3,2.6
-3.1,19.8,22,3.9,80.5,7.4,80,58300,30980,14.9,3
1.1,21.1,0.8,14.6,84.6,17.3,73.2,120000,36584,18.8,5.6
-5.3,19.2,54.6,5.6,74.2,12.6,66.3,54700,26201,33,8
-1.8,16.1,24,4.4,86.2,21.4,63.5,86600,32721,24.3,1.8
-6,21.4,0.6,1.8,76.1,9.5,72.6,62400,31502,20.2,0.2
-1.3,25.4,0.5,2.6,84.5,16.8,76.9,117900,40246,15.8,5.8
-2.8,19.1,11.4,2.2,84.8,13.8,77.5,78300,39420,17.7,5.3
-2.5,16.6,36.2,2.7,85.4,20.3,68.9,78900,35128,25.4,0.8
-0.9,18.3,11.4,4,84.5,14.7,74,86100,35225,24,5.8
6.3,13,14.5,4.7,84.9,24.4,58.3,120700,41393,20.6,1.5
-0.4,15.3,1.6,6.7,82.2,14.3,74.3,102800,39479,20.2,2.2
-2.7,12.1,51.8,2.3,79.1,13.9,56.3,99500,37751,26.3,10.3
-3.6,17.6,22.9,1.9,79,11.4,65.4,78400,38085,17.4,4.9
-4.4,20.5,41.3,2.7,82.1,10.2,66.4,59200,28931,19.7,1.9
